Hotel Name,Place,Description,Ratings,Price (INR)
Palm Springs,Mumbai,"Bar, Free parking, Free breakfast, TV with cable, Gym, Conference room, Business center, Laundry service",2.8,4058
Royal Residency,Bengaluru,"Coffee maker, Free breakfast, Balcony view, Business center, Spa services, 24/7 Room service, Gym",2.52,17237
The Sapphire,Mumbai,"TV with cable, Airport shuttle, Business center, Free breakfast, Pet-friendly, WiFi, Bar, Balcony view, Child-friendly, Conference room",4.44,17654
Royal Residency,Mumbai,"WiFi, Bar, Spa services, 24/7 Room service, AC, Conference room",3.84,9926
Golden Nest,Pune,"TV with cable, Swimming pool, Business center, Restaurant, Mini bar",1.8,3191
Majestic View,Pune,"Child-friendly, Coffee maker, Free parking, Gym, AC, Conference room",1.32,10744
Green Leaf,Mumbai,"Laundry service, Child-friendly, Conference room, TV with cable, WiFi, 24/7 Room service, Free parking, Bar, Business center",4.64,12666
Ocean View,Pune,"Pet-friendly, Business center, Swimming pool, Balcony view, Bar, Spa services, WiFi, TV with cable, Mini bar, Restaurant",3.64,12168
The Sapphire,Bengaluru,"Spa services, Airport shuttle, AC, 24/7 Room service, Pet-friendly, Coffee maker",4.16,12931
Emerald Elegance,Mumbai,"Swimming pool, 24/7 Room service, Spa services, WiFi, Conference room, Bar, Pet-friendly, Child-friendly",4.8,1917
Majestic View,Mumbai,"Airport shuttle, Mini bar, Swimming pool, Balcony view, Pet-friendly, Conference room",3.0,17285
Majestic View,Pune,"Mini bar, Balcony view, TV with cable, Laundry service, AC, WiFi, Child-friendly, Bar, Swimming pool",2.28,6036
Luxury Inn,Bengaluru,"Free parking, Conference room, 24/7 Room service, Spa services, Restaurant, Child-friendly, Airport shuttle",1.2,5861
Comfort Stay,Pune,"Free breakfast, Mini bar, Balcony view, 24/7 Room service, Pet-friendly, Child-friendly, TV with cable, Airport shuttle, Conference room, Bar",4.12,6424
Green Leaf,Mumbai,"Free parking, 24/7 Room service, Airport shuttle, Pet-friendly, Swimming pool, TV with cable, Restaurant, Coffee maker, Child-friendly",1.04,17257
Grand Palace,Pune,"Coffee maker, 24/7 Room service, Mini bar, Conference room, Laundry service, Restaurant, Gym, Business center, AC",4.52,11816
Emerald Elegance,Bengaluru,"Mini bar, 24/7 Room service, TV with cable, WiFi, Bar, Laundry service, Balcony view, Restaurant, AC",2.72,11979
Luxury Inn,Bengaluru,"Pet-friendly, Free breakfast, Child-friendly, Laundry service, 24/7 Room service, Conference room, Spa services",4.68,17515
The Sapphire,Mumbai,"Free breakfast, Restaurant, 24/7 Room service, AC, Laundry service, Mini bar",3.4,11407
Regal Heights,Mumbai,"Child-friendly, Coffee maker, Gym, Balcony view, Bar, 24/7 Room service, TV with cable, AC, Swimming pool",4.32,2882
Regal Heights,Bengaluru,"Pet-friendly, Swimming pool, Gym, Spa services, Bar, Airport shuttle, TV with cable, Mini bar, 24/7 Room service, Business center",3.76,11797
Luxury Inn,Pune,"Spa services, Swimming pool, Restaurant, Coffee maker, Free breakfast, Bar",4.52,3513
Emerald Elegance,Bengaluru,"AC, Conference room, Free breakfast, Spa services, Balcony view, Mini bar, Child-friendly, Pet-friendly, Free parking, Restaurant",2.44,16436
Emerald Elegance,Mumbai,"Business center, Swimming pool, AC, WiFi, Coffee maker, Airport shuttle, Child-friendly, 24/7 Room service, Conference room",3.44,19674
Tranquil Lodge,Pune,"Airport shuttle, Conference room, Swimming pool, 24/7 Room service, WiFi, Balcony view",3.52,1821
Palm Springs,Mumbai,"Spa services, Free breakfast, Balcony view, Coffee maker, Child-friendly, Conference room, Free parking, Business center",4.44,18187
Harmony Hotel,Bengaluru,"TV with cable, AC, Coffee maker, WiFi, Conference room, 24/7 Room service, Laundry service",2.2,10211
Majestic View,Mumbai,"Conference room, Laundry service, Spa services, Child-friendly, Mini bar",3.52,2316
Harmony Hotel,Mumbai,"Spa services, Free parking, Balcony view, TV with cable, Airport shuttle, Restaurant, Swimming pool",4.28,18241
Hotel Sunshine,Bengaluru,"TV with cable, WiFi, Free parking, Free breakfast, Restaurant, Bar, Spa services",4.72,13435
Elite Stay,Bengaluru,"Mini bar, Free parking, WiFi, Conference room, Restaurant, TV with cable, Gym, AC",4.24,12070
Grand Palace,Bengaluru,"Coffee maker, Airport shuttle, Spa services, Free breakfast, Balcony view, Pet-friendly",4.04,12886
Emerald Elegance,Mumbai,"Laundry service, Child-friendly, 24/7 Room service, Free breakfast, Conference room, Mini bar",2.92,2477
Green Leaf,Mumbai,"WiFi, Conference room, Spa services, Laundry service, AC, Airport shuttle",3.64,17774
Majestic View,Mumbai,"Mini bar, Restaurant, Balcony view, Airport shuttle, Swimming pool, WiFi, AC, Free parking, Coffee maker, Free breakfast",4.52,10611
Harmony Hotel,Pune,"Bar, Free breakfast, Mini bar, Conference room, Laundry service, Pet-friendly",1.72,6027
Emerald Elegance,Pune,"Conference room, Mini bar, Laundry service, Business center, Gym, AC, Bar, Restaurant, Free breakfast",1.92,14124
Palm Springs,Pune,"Swimming pool, Coffee maker, Laundry service, 24/7 Room service, Gym, Pet-friendly, Free parking, Airport shuttle",2.44,10194
Tranquil Lodge,Pune,"Free parking, 24/7 Room service, Business center, Free breakfast, Laundry service, Gym, Balcony view, Coffee maker, TV with cable",4.0,4680
Elite Stay,Bengaluru,"Laundry service, WiFi, 24/7 Room service, Conference room, Child-friendly, Restaurant, Free parking, Free breakfast, Coffee maker, Swimming pool",1.96,2818
Ocean View,Pune,"Bar, Conference room, Free breakfast, Swimming pool, TV with cable, Free parking, Pet-friendly, 24/7 Room service",4.36,17142
Golden Nest,Pune,"Child-friendly, Balcony view, WiFi, Pet-friendly, AC, Laundry service, Restaurant, Spa services",1.0,14836
Urban Retreat,Mumbai,"Spa services, Swimming pool, WiFi, Coffee maker, TV with cable",3.32,6736
Comfort Stay,Mumbai,"Business center, Coffee maker, Free breakfast, Swimming pool, AC, Laundry service",3.84,15729
Tranquil Lodge,Pune,"Conference room, Free parking, Free breakfast, AC, Business center",4.76,5830
Green Leaf,Bengaluru,"Bar, Business center, Pet-friendly, Swimming pool, Conference room, Balcony view, Free breakfast, Mini bar",2.4,10790
Hotel Sunshine,Bengaluru,"WiFi, Spa services, Gym, 24/7 Room service, Business center, Child-friendly, Laundry service, Bar, Free parking, Swimming pool",2.32,9839
Emerald Elegance,Pune,"Free breakfast, WiFi, Mini bar, Free parking, Airport shuttle, Child-friendly, TV with cable",1.96,9205
Luxury Inn,Bengaluru,"Spa services, Balcony view, AC, Free parking, Free breakfast, WiFi, Restaurant",4.24,13777
Royal Residency,Bengaluru,"Child-friendly, TV with cable, Swimming pool, Laundry service, 24/7 Room service, Conference room, WiFi, Balcony view",1.08,13173
Ocean View,Mumbai,"Coffee maker, Free breakfast, Airport shuttle, AC, Bar, Business center, Free parking",3.92,10837
Comfort Stay,Bengaluru,"AC, Conference room, Bar, Free parking, Pet-friendly, TV with cable, WiFi, 24/7 Room service, Airport shuttle",1.56,8709
Paradise Stay,Mumbai,"24/7 Room service, Free breakfast, Mini bar, Airport shuttle, Restaurant, Pet-friendly",3.32,7847
Harmony Hotel,Bengaluru,"Airport shuttle, Business center, Gym, Free parking, Child-friendly, Coffee maker, Free breakfast, Pet-friendly",3.24,15757
Luxury Inn,Mumbai,"Pet-friendly, Child-friendly, Spa services, Business center, Airport shuttle, Restaurant, WiFi",3.28,3748
Ocean View,Pune,"Mini bar, Free parking, Swimming pool, AC, Pet-friendly, Spa services",2.88,2742
Tranquil Lodge,Pune,"Balcony view, AC, Restaurant, TV with cable, Free parking",2.92,12429
The Serene Spot,Pune,"Gym, Coffee maker, Business center, Swimming pool, Free breakfast, Mini bar, Laundry service, Bar, Restaurant",1.08,19854
Skyline Hotel,Mumbai,"Laundry service, Balcony view, Coffee maker, Child-friendly, Mini bar, Gym, Pet-friendly",1.16,14347
Comfort Stay,Mumbai,"Gym, Mini bar, AC, 24/7 Room service, Coffee maker",3.4,4626
Skyline Hotel,Bengaluru,"Laundry service, Free breakfast, Coffee maker, Bar, TV with cable, Child-friendly, 24/7 Room service, Balcony view, Spa services, Restaurant",2.12,13211
Skyline Hotel,Bengaluru,"Gym, Airport shuttle, Free breakfast, Swimming pool, Laundry service",4.64,8902
Elite Stay,Bengaluru,"Bar, Swimming pool, Business center, Airport shuttle, Conference room, Spa services",2.04,14214
Tranquil Lodge,Bengaluru,"TV with cable, Business center, Free parking, 24/7 Room service, Child-friendly, Balcony view, Laundry service",1.48,16418
Golden Nest,Bengaluru,"WiFi, Business center, Conference room, Balcony view, Laundry service, Pet-friendly, Mini bar",3.72,9853
Golden Nest,Bengaluru,"Laundry service, Bar, Spa services, Gym, Swimming pool, Balcony view",3.04,9836
Royal Residency,Bengaluru,"Free breakfast, Balcony view, Mini bar, Restaurant, Laundry service, Spa services, Conference room, Swimming pool, Child-friendly, 24/7 Room service",1.08,15633
Harmony Hotel,Mumbai,"Restaurant, Coffee maker, Free breakfast, Laundry service, Child-friendly, WiFi, Business center, Balcony view, Swimming pool",2.88,9011
Majestic View,Bengaluru,"Balcony view, Swimming pool, 24/7 Room service, Conference room, AC, Child-friendly, Spa services, Bar, Pet-friendly, Gym",1.88,7899
The Serene Spot,Pune,"Spa services, Restaurant, Laundry service, Gym, Free parking, Balcony view, AC, Child-friendly, Bar",3.68,19091
Green Leaf,Mumbai,"Business center, Conference room, Pet-friendly, Swimming pool, Balcony view, Mini bar, TV with cable, Restaurant, AC, Laundry service",3.52,11087
Majestic View,Bengaluru,"WiFi, Restaurant, Swimming pool, Pet-friendly, 24/7 Room service, Balcony view, Mini bar, Free breakfast, Free parking, Bar",2.4,8129
Majestic View,Bengaluru,"Restaurant, Gym, Airport shuttle, Bar, WiFi, Child-friendly, Conference room",4.56,13626
Urban Retreat,Bengaluru,"Free parking, Coffee maker, Mini bar, Conference room, Swimming pool, AC",4.44,7956
Hotel Sunshine,Mumbai,"Coffee maker, Conference room, Laundry service, AC, TV with cable, Gym, Airport shuttle",2.2,11690
Royal Residency,Bengaluru,"Conference room, WiFi, Coffee maker, Free parking, Mini bar",1.0,19056
Majestic View,Bengaluru,"Child-friendly, Spa services, Conference room, Swimming pool, TV with cable",2.44,3892
The Serene Spot,Pune,"AC, Airport shuttle, WiFi, Free parking, Bar, Business center, Laundry service, Restaurant",2.52,19432
Luxury Inn,Mumbai,"Coffee maker, Free breakfast, Mini bar, WiFi, Laundry service, Gym",2.68,5770
Golden Nest,Bengaluru,"TV with cable, Restaurant, Mini bar, Free parking, Child-friendly, Conference room",1.0,9620
Tranquil Lodge,Mumbai,"Airport shuttle, Pet-friendly, Spa services, Coffee maker, Business center, TV with cable, Mini bar",4.44,9348
Urban Retreat,Pune,"Free parking, Spa services, AC, TV with cable, WiFi, Mini bar, Child-friendly, Coffee maker, Airport shuttle, Conference room",1.4,11625
Elite Stay,Bengaluru,"Coffee maker, AC, Bar, Business center, Laundry service",3.44,3330
Emerald Elegance,Bengaluru,"TV with cable, Balcony view, 24/7 Room service, Coffee maker, Mini bar",2.12,10754
Majestic View,Bengaluru,"Free parking, Restaurant, Spa services, TV with cable, Free breakfast",4.84,13036
The Serene Spot,Pune,"Balcony view, Bar, Spa services, Child-friendly, Business center, Conference room, Airport shuttle, 24/7 Room service",1.08,7146
The Serene Spot,Pune,"Gym, AC, Coffee maker, Swimming pool, Balcony view, Spa services",4.68,5217
Urban Retreat,Mumbai,"Child-friendly, AC, Laundry service, Balcony view, Restaurant, Coffee maker, WiFi, Pet-friendly",2.84,6805
Regal Heights,Pune,"Laundry service, Gym, Swimming pool, Restaurant, Mini bar, Free parking, Spa services",3.44,16437
Regal Heights,Mumbai,"Child-friendly, Pet-friendly, Free breakfast, 24/7 Room service, Airport shuttle, Free parking, TV with cable, Laundry service, WiFi",2.08,12617
Emerald Elegance,Mumbai,"Balcony view, WiFi, Mini bar, Conference room, Swimming pool",2.84,13580
Hotel Sunshine,Mumbai,"Balcony view, Laundry service, Pet-friendly, Swimming pool, Child-friendly, Coffee maker, Spa services, Gym, Restaurant",3.68,18043
Emerald Elegance,Bengaluru,"Balcony view, WiFi, 24/7 Room service, Restaurant, Business center, Mini bar, Swimming pool, Airport shuttle, Bar, Free breakfast",2.28,7480
Skyline Hotel,Bengaluru,"Free parking, Mini bar, Spa services, Bar, Pet-friendly, Business center, WiFi, 24/7 Room service, Child-friendly, Coffee maker",4.56,2067
Comfort Stay,Bengaluru,"24/7 Room service, Gym, WiFi, Swimming pool, Free breakfast, Laundry service",4.64,16718
Skyline Hotel,Bengaluru,"AC, Mini bar, Gym, Child-friendly, Airport shuttle, Laundry service",3.88,11165
The Serene Spot,Mumbai,"Child-friendly, Balcony view, Laundry service, Swimming pool, Business center, WiFi, Bar",2.44,5536
Royal Residency,Mumbai,"Gym, Laundry service, Airport shuttle, WiFi, Mini bar, Business center, Child-friendly, Pet-friendly",3.08,18143
Grand Palace,Bengaluru,"TV with cable, Gym, Pet-friendly, Bar, Swimming pool",1.96,9856
Golden Nest,Mumbai,"Mini bar, Free parking, Airport shuttle, Laundry service, WiFi, 24/7 Room service",4.96,12324
Tranquil Lodge,Pune,"Bar, Restaurant, Mini bar, Child-friendly, Balcony view, Conference room, AC",1.68,7826
Royal Residency,Mumbai,"Mini bar, Coffee maker, Child-friendly, Balcony view, Conference room",3.88,4233
Golden Nest,Pune,"24/7 Room service, Gym, Restaurant, AC, Pet-friendly, Free breakfast, Free parking, TV with cable, Swimming pool",1.68,6037
Palm Springs,Mumbai,"Swimming pool, Coffee maker, Airport shuttle, Bar, WiFi, Free parking, AC, Restaurant",2.36,9749
Skyline Hotel,Mumbai,"24/7 Room service, Coffee maker, Balcony view, Free breakfast, Mini bar, WiFi, Free parking, Swimming pool, Bar, Business center",2.88,10618
Tranquil Lodge,Bengaluru,"Restaurant, TV with cable, Free parking, Laundry service, Mini bar",2.16,12144
Elite Stay,Pune,"Laundry service, Swimming pool, Pet-friendly, 24/7 Room service, Child-friendly, Free breakfast, TV with cable, Coffee maker, Bar, Airport shuttle",2.4,10304
Golden Nest,Mumbai,"Business center, Laundry service, Pet-friendly, Mini bar, Balcony view",4.44,3236
Harmony Hotel,Mumbai,"Child-friendly, Spa services, Conference room, Coffee maker, Gym, 24/7 Room service, Pet-friendly, Airport shuttle",2.16,8214
Grand Palace,Bengaluru,"Free parking, Conference room, Business center, Mini bar, Airport shuttle, WiFi, 24/7 Room service, Pet-friendly, Balcony view, Restaurant",3.48,9814
Grand Palace,Bengaluru,"Mini bar, WiFi, TV with cable, Swimming pool, Laundry service, Business center, Conference room, 24/7 Room service, Child-friendly",4.24,15634
Ocean View,Bengaluru,"AC, Laundry service, Bar, Business center, Spa services, Restaurant, Mini bar, Airport shuttle",1.2,5106
Palm Springs,Bengaluru,"Free breakfast, Child-friendly, Business center, Swimming pool, Balcony view, TV with cable, Bar, Pet-friendly, AC",2.6,7724
Grand Palace,Pune,"Spa services, Free breakfast, Free parking, Child-friendly, WiFi",2.24,2487
Royal Residency,Bengaluru,"Free breakfast, Conference room, Business center, Child-friendly, AC, Mini bar, Balcony view, Coffee maker, Spa services, Gym",1.2,15715
The Sapphire,Bengaluru,"Child-friendly, Spa services, Laundry service, AC, Bar, Conference room, Airport shuttle",2.32,3172
Hotel Sunshine,Bengaluru,"AC, Laundry service, Conference room, Business center, Pet-friendly, 24/7 Room service, Child-friendly, Restaurant, Mini bar, Free parking",1.52,15203
Elite Stay,Pune,"Free parking, Spa services, Restaurant, Bar, Balcony view, Pet-friendly, Conference room, Free breakfast, Swimming pool, Gym",4.48,10914
Ocean View,Mumbai,"AC, Mini bar, Coffee maker, Swimming pool, Restaurant",3.16,12724
Majestic View,Mumbai,"AC, Swimming pool, Child-friendly, Pet-friendly, Spa services, Free parking, Mini bar",4.4,14781
Elite Stay,Pune,"Mini bar, WiFi, Swimming pool, Laundry service, Free breakfast, Gym, Airport shuttle",3.96,8005
Elite Stay,Bengaluru,"TV with cable, Restaurant, Coffee maker, Balcony view, Free parking, Bar, Laundry service, 24/7 Room service, Spa services",1.68,5924
Golden Nest,Bengaluru,"Pet-friendly, AC, Gym, Swimming pool, Coffee maker, 24/7 Room service, Spa services, TV with cable",4.52,14985
Emerald Elegance,Pune,"Swimming pool, Coffee maker, Balcony view, Conference room, AC",4.28,5654
Green Leaf,Bengaluru,"24/7 Room service, Free parking, Swimming pool, Mini bar, Coffee maker, AC, Business center, Pet-friendly, Airport shuttle",4.08,15731
The Serene Spot,Pune,"Restaurant, Conference room, Spa services, WiFi, Balcony view, TV with cable",2.0,2662
Grand Palace,Mumbai,"WiFi, Restaurant, Child-friendly, Free parking, Swimming pool, Spa services, Free breakfast, Coffee maker, Mini bar, Laundry service",4.92,7382
Comfort Stay,Bengaluru,"24/7 Room service, Gym, Balcony view, Free breakfast, Restaurant, WiFi, Mini bar, TV with cable, Spa services, Airport shuttle",1.8,9138
Tranquil Lodge,Mumbai,"24/7 Room service, Free breakfast, Airport shuttle, Laundry service, Mini bar, Swimming pool, Free parking, Pet-friendly, Spa services, Child-friendly",4.56,8918
Elite Stay,Pune,"Gym, TV with cable, Free breakfast, Spa services, Pet-friendly",4.04,5191
Regal Heights,Mumbai,"Child-friendly, 24/7 Room service, Free parking, WiFi, Conference room, Coffee maker, Free breakfast",1.68,13360
Ocean View,Bengaluru,"Free parking, TV with cable, Conference room, Balcony view, Coffee maker, Gym, Business center, 24/7 Room service, Bar, Laundry service",1.76,13377
Comfort Stay,Bengaluru,"TV with cable, Airport shuttle, Swimming pool, Balcony view, AC",1.28,6425
Regal Heights,Pune,"Swimming pool, Free parking, Pet-friendly, Bar, Mini bar, TV with cable, 24/7 Room service",4.72,3442
Grand Palace,Bengaluru,"Airport shuttle, Free breakfast, Conference room, AC, Business center, Laundry service, Balcony view, Spa services, Child-friendly",2.84,19232
Palm Springs,Bengaluru,"Spa services, Laundry service, Swimming pool, Pet-friendly, Child-friendly, Free parking",4.32,19516
Luxury Inn,Mumbai,"Coffee maker, Gym, Airport shuttle, Swimming pool, Free breakfast, 24/7 Room service, Restaurant, Laundry service",4.6,3141
Tranquil Lodge,Bengaluru,"WiFi, Pet-friendly, Coffee maker, TV with cable, Free parking, Restaurant, AC, Business center, Free breakfast",1.24,11064
Skyline Hotel,Mumbai,"Pet-friendly, Restaurant, Business center, Airport shuttle, Child-friendly, AC",4.36,19585
Ocean View,Bengaluru,"TV with cable, Laundry service, Balcony view, Business center, Free breakfast, Conference room, Bar, Swimming pool",2.36,1949
Comfort Stay,Bengaluru,"Gym, Airport shuttle, TV with cable, Laundry service, 24/7 Room service",1.48,18827
Elite Stay,Pune,"Free parking, Business center, Free breakfast, Swimming pool, Coffee maker, TV with cable",2.76,12080
Palm Springs,Bengaluru,"WiFi, Child-friendly, Pet-friendly, Mini bar, Swimming pool, Balcony view, 24/7 Room service, Business center, TV with cable, Free breakfast",4.8,10760
Elite Stay,Bengaluru,"Mini bar, Airport shuttle, Bar, Free parking, Restaurant, Balcony view, AC, Child-friendly",4.8,13872
Skyline Hotel,Mumbai,"Business center, Pet-friendly, Free breakfast, Bar, Coffee maker, Gym, Swimming pool",3.52,2910
Palm Springs,Mumbai,"WiFi, Restaurant, TV with cable, Free parking, Bar",2.76,7031
Harmony Hotel,Bengaluru,"Coffee maker, Pet-friendly, Swimming pool, Gym, Laundry service, Business center",3.4,15964
Golden Nest,Pune,"Swimming pool, Spa services, AC, Free parking, Free breakfast, Gym, Pet-friendly, Airport shuttle, Balcony view, Child-friendly",2.04,18165
Skyline Hotel,Pune,"Coffee maker, Mini bar, Gym, Free parking, Spa services, Free breakfast, Child-friendly, 24/7 Room service, Restaurant, Business center",1.64,8040
Green Leaf,Mumbai,"Free parking, Swimming pool, Pet-friendly, WiFi, Free breakfast, Laundry service",1.92,9993
Paradise Stay,Pune,"Laundry service, Balcony view, Conference room, Spa services, WiFi, 24/7 Room service",1.44,11801
Majestic View,Pune,"Spa services, Free breakfast, Business center, TV with cable, Laundry service, Conference room, 24/7 Room service, Coffee maker, Airport shuttle",4.16,16994
Harmony Hotel,Bengaluru,"AC, Conference room, Balcony view, Coffee maker, Laundry service, WiFi, Business center",2.72,15285
Comfort Stay,Pune,"24/7 Room service, Free parking, Restaurant, Business center, Pet-friendly, Spa services, Airport shuttle, Mini bar, AC, Conference room",1.04,5378
Hotel Sunshine,Mumbai,"Airport shuttle, Bar, Laundry service, WiFi, Pet-friendly, Swimming pool",2.88,3587
Harmony Hotel,Bengaluru,"TV with cable, Airport shuttle, Child-friendly, Swimming pool, WiFi, Restaurant, AC, Balcony view",4.04,3666
The Sapphire,Pune,"Pet-friendly, Conference room, Airport shuttle, Swimming pool, Free parking",3.68,15095
Golden Nest,Mumbai,"TV with cable, Mini bar, Airport shuttle, Child-friendly, Pet-friendly, Gym, Bar, Restaurant",1.2,7904
Palm Springs,Mumbai,"Pet-friendly, Restaurant, Free breakfast, Conference room, Coffee maker, Child-friendly, Business center",3.52,19592
Paradise Stay,Bengaluru,"Swimming pool, Gym, Balcony view, TV with cable, Free breakfast, Mini bar, AC, Airport shuttle, Conference room",1.72,1847
Elite Stay,Pune,"Spa services, Laundry service, Mini bar, Free breakfast, Balcony view, Pet-friendly, Airport shuttle, Coffee maker, AC",4.6,15244
Emerald Elegance,Bengaluru,"Swimming pool, Business center, Free parking, Laundry service, Conference room, WiFi, Mini bar, Bar, Child-friendly, Coffee maker",2.84,7799
Comfort Stay,Mumbai,"Business center, TV with cable, Bar, Laundry service, Gym, Free breakfast, Restaurant, Pet-friendly, Mini bar, Balcony view",2.24,19498
Ocean View,Bengaluru,"Conference room, Business center, Free breakfast, Swimming pool, AC, Coffee maker, Restaurant",1.44,2576
Harmony Hotel,Mumbai,"Spa services, Mini bar, 24/7 Room service, TV with cable, Free parking, AC, Laundry service",1.72,9488
Harmony Hotel,Bengaluru,"24/7 Room service, Spa services, Conference room, Mini bar, Balcony view, Child-friendly, Bar",3.0,15776
Tranquil Lodge,Bengaluru,"Bar, Free parking, Child-friendly, Free breakfast, Conference room, Swimming pool, Business center, Laundry service, Mini bar",1.24,14258
Emerald Elegance,Pune,"Conference room, Gym, Restaurant, Business center, Coffee maker, Swimming pool, WiFi, Mini bar",2.2,9402
Green Leaf,Pune,"24/7 Room service, Mini bar, Airport shuttle, Child-friendly, WiFi, Conference room, Free parking",4.68,16418
The Sapphire,Mumbai,"AC, Restaurant, Swimming pool, TV with cable, Conference room",4.44,7129
Ocean View,Bengaluru,"Airport shuttle, Free parking, Free breakfast, Gym, TV with cable, WiFi, Restaurant",3.88,19495
Harmony Hotel,Mumbai,"TV with cable, Mini bar, Bar, Restaurant, Conference room, AC, Pet-friendly, Free parking, Gym, Business center",4.36,17900
Palm Springs,Pune,"Bar, Child-friendly, Airport shuttle, Free parking, Gym, Conference room, Restaurant",1.6,4000
Comfort Stay,Pune,"AC, WiFi, Balcony view, Mini bar, Restaurant, 24/7 Room service, Swimming pool, TV with cable",4.76,6230
Grand Palace,Mumbai,"Coffee maker, Free parking, Spa services, Swimming pool, 24/7 Room service, AC, TV with cable, Bar, Mini bar, Balcony view",2.72,4872
Urban Retreat,Pune,"Conference room, Child-friendly, Balcony view, Bar, TV with cable, WiFi, Spa services, 24/7 Room service",3.88,6667
Paradise Stay,Pune,"Business center, Child-friendly, TV with cable, Swimming pool, Spa services, AC",4.92,6100
Regal Heights,Bengaluru,"Coffee maker, Gym, Conference room, Pet-friendly, WiFi",1.8,7350
Ocean View,Bengaluru,"Pet-friendly, WiFi, Bar, AC, Restaurant, 24/7 Room service, Coffee maker, Free parking",3.2,8623
Emerald Elegance,Pune,"Pet-friendly, TV with cable, Laundry service, Child-friendly, Gym, Free breakfast, 24/7 Room service, Business center",4.52,9283
Ocean View,Pune,"Laundry service, WiFi, TV with cable, Business center, Bar, Airport shuttle, AC",4.4,5537
Majestic View,Bengaluru,"24/7 Room service, Bar, Swimming pool, Airport shuttle, Restaurant, Pet-friendly, Laundry service, Balcony view, Free breakfast, WiFi",1.88,19079
Green Leaf,Pune,"Laundry service, Balcony view, Airport shuttle, Bar, AC",4.2,4788
Royal Residency,Bengaluru,"Airport shuttle, TV with cable, Free parking, Laundry service, Balcony view, Business center, Conference room, Swimming pool",3.12,13343
Majestic View,Pune,"TV with cable, Laundry service, Restaurant, AC, Airport shuttle, Gym, Free breakfast, WiFi, Coffee maker",1.72,7874
Skyline Hotel,Pune,"Restaurant, Pet-friendly, Coffee maker, Free breakfast, TV with cable, 24/7 Room service, Swimming pool, Laundry service, Airport shuttle, WiFi",1.08,3074
Palm Springs,Mumbai,"Restaurant, WiFi, Airport shuttle, Mini bar, TV with cable, Spa services, Laundry service, Coffee maker, Swimming pool, Child-friendly",2.4,2771
Paradise Stay,Pune,"Coffee maker, Free parking, Mini bar, Balcony view, Bar, Pet-friendly, Conference room",1.72,18280
Royal Residency,Mumbai,"Balcony view, Free parking, Spa services, Coffee maker, Laundry service, Business center",2.28,8119
Grand Palace,Mumbai,"Free parking, Pet-friendly, Balcony view, Airport shuttle, AC, Business center",1.6,3276
The Sapphire,Mumbai,"Laundry service, TV with cable, Mini bar, AC, Spa services",4.52,19633
Comfort Stay,Bengaluru,"Free breakfast, Spa services, Pet-friendly, Coffee maker, Laundry service, TV with cable, 24/7 Room service, Free parking, Swimming pool, Conference room",2.6,9890
Royal Residency,Pune,"Spa services, Balcony view, 24/7 Room service, TV with cable, Pet-friendly, Restaurant, Business center, Conference room, Free breakfast, Mini bar",2.84,13761
Skyline Hotel,Bengaluru,"24/7 Room service, Spa services, Coffee maker, Mini bar, Child-friendly, Balcony view, WiFi",2.16,8418
Comfort Stay,Pune,"Free breakfast, AC, Gym, Restaurant, Pet-friendly, Child-friendly, WiFi, Bar, TV with cable, Airport shuttle",3.44,19850
Hotel Sunshine,Mumbai,"WiFi, AC, Spa services, Pet-friendly, Coffee maker, TV with cable, Mini bar, Airport shuttle, Swimming pool",3.92,19216
Golden Nest,Bengaluru,"Bar, Spa services, Coffee maker, Airport shuttle, Free breakfast, Conference room, Gym, Child-friendly, Restaurant",3.96,7128
Paradise Stay,Bengaluru,"Free breakfast, Gym, Coffee maker, Bar, Conference room, Airport shuttle",1.4,15747
Royal Residency,Pune,"Bar, TV with cable, Child-friendly, Gym, Balcony view, Swimming pool, Spa services, Free breakfast",3.8,8630
Regal Heights,Mumbai,"Business center, Balcony view, Free breakfast, Mini bar, Gym, WiFi, Spa services, 24/7 Room service, TV with cable",1.8,16802
Majestic View,Pune,"Conference room, Swimming pool, Coffee maker, 24/7 Room service, Pet-friendly, Laundry service, Gym",1.44,7823
Comfort Stay,Bengaluru,"Free parking, Mini bar, Conference room, Restaurant, Laundry service, AC, Coffee maker, TV with cable, WiFi",2.84,7043
Green Leaf,Pune,"Laundry service, Swimming pool, 24/7 Room service, Mini bar, Child-friendly, Free parking, Gym, Free breakfast, Bar, WiFi",4.28,7086
Regal Heights,Mumbai,"AC, Child-friendly, Restaurant, Spa services, Pet-friendly, Bar, Balcony view, Free parking, Coffee maker, WiFi",4.12,14719
Royal Residency,Pune,"Airport shuttle, Free parking, Child-friendly, Balcony view, Restaurant, Laundry service, Spa services, 24/7 Room service",2.44,18183
Tranquil Lodge,Mumbai,"Coffee maker, Gym, Mini bar, Airport shuttle, 24/7 Room service, Restaurant, Balcony view",3.84,2391
Emerald Elegance,Mumbai,"Restaurant, Bar, Gym, Laundry service, Conference room",3.48,7559
The Sapphire,Pune,"Child-friendly, Balcony view, Free breakfast, AC, Business center, Laundry service, Free parking",4.04,9567
Tranquil Lodge,Bengaluru,"Free breakfast, Laundry service, Child-friendly, Conference room, Airport shuttle, Restaurant, AC, Bar, Spa services",1.16,18442
Regal Heights,Mumbai,"Conference room, Free breakfast, Restaurant, Swimming pool, AC",2.04,7913
